id	document	label
23	서울 동부구치소에서 126명 추가 확진..누적 918명(종합) 연합뉴스	1
24	창원·순천 등 야생조류 폐사체 8건서 고병원성 AI 검출 뉴시스	1
25	"""유튜버들 빠지니 나왔나""..조두순, 보름 만에 첫 외출 서울신문"	1
26	포항 해돋이 명소 폐쇄에도 KTX 만석·숙박업소 만실 뉴스1	1
27	"김진욱, 청문준비 착수했지만..검증 대응 12명에 불과 연합뉴스"	1
28	"이재명 ""일베출신 성범죄 의심 공무원 합격자 사실 확인시 법적조치"" 뉴스1"	1
29	"서울교육청 소규모 사립학교 교원 감축, 학교 반발로 '1년 유예'(종합) 뉴스1"	1
30	"국시 거부' 의대생 2천700명 시험 친다..정부, 추가 기회 부여(종합2보) 연합뉴스"	1
31	"의사국시 추가기회 부여에 의료계 ""다행스러운 결정"" 연합뉴스"	1
32	"""하늘은 왜 도와주지 않냐""..가슴만 치는 명민호 실종자 가족들 연합뉴스"	1
33	[취재파일] 케이블카 불씨 되살린 국민권익위..산양의 운명은? SBS	1
34	"유성기업 노사 갈등 '10년만에 마무리'..노조 ""어쩔수 없는 합의"" 뉴시스"	1
35	집콕'하는 아이들 건강 괜찮을까?..운동·영양 신경써야 뉴시스	1
36	"[단독] '박원순 피소' 유출자, 靑일자리위원 겸해..委 ""교체 검토"" 매일경제"	1
37	허리통증 환자에 전신마취 보조제 처방 의사 금고 10월 연합뉴스	1
38	"""해맞이 보러 오지마세요""..동해안 한파 속 해변 단속 노컷뉴스"	1
39	제주 이틀째 이어진 한파에 항공·여객선 운항 차질 연합뉴스	1
40	"""암 걸릴까 걱정"" 또 마약한 30대 가장..가족이 신고 뉴시스"	1
41	"AZ 코로나백신 영국 승인, 국내 공급은?..식약처 사전검토 진행 중 뉴스1"	1
42	"정부 ""모레 토요일 중대본 회의서 전국 거리두기 조정안 확정""(종합) 연합뉴스"	1
43	"전광훈 ""난 선지자, 文대통령은 왕따""..석방 기자회견 뉴시스"	1
44	"정부 ""당분간 사망자 증가..1.4%인 치명률 좀 더 높아질 것"" 뉴스1"	1
45	"미소들요양병원 확진자 이송완료..""요양·복지시설 의료인력 충원"" 뉴시스"	1
46	"서울시장 출마 금태섭 ""김어준, 너무나 큰 해악 끼쳐"" 미디어오늘"	1
47	"서울구치소 확진자도 1명 사망..""동부구치소와 무관""(종합2보) 뉴스1"	1
48	"제주, 연말연시 '숲콕'도 안된다..한라산·오름·휴양림 출입제한 뉴스1"	1
49	"동부구치소 확진자 37명 추가..""전수검사 결과는 아직""(종합2보) 연합뉴스"	1
50	"국시 거부' 의대생 2천700명 시험 친다..정부, 추가 기회 부여(종합) 연합뉴스"	1
51	"신생아 감염' 산후조리원 13명 확진..서울시, 종사자 전원검사 뉴시스"	1
52	文케어'로 보장성 10.5% 확대한 만큼 비급여도 10.5% 늘었다 뉴시스	1
53	전주시 공무원 첫 확진..1월13일까지 인후도서관 폐쇄 뉴시스	1
54	"청주시민들 ""위험천만 빙판길, 제설작업 왜 못 하나"" 뉴시스"	1
55	포항행 KTX 열차 매진..강릉행은 예약 취소 늘어 YTN	1
56	한국판 FBI' 국수본 출범..경찰청장 지휘권 사실상 배제 연합뉴스	1
57	"헌재 ""전체이용가 게임경품 '5천원 내' 제한 허용은 합헌"" 연합뉴스"	1
58	"인권위 ""낙태 처벌규정 삭제하고 임신 전과정 지원해야"" 뉴스1"	1
59	"[단독]김진욱 ""나도 전문성 있다"" 내세운 근거는 박근혜 탄핵 중앙일보"	1
60	보험 안되는 진료 가격 동네병원도 공개한다 한국일보	1
61	건강보험 비급여 관리 강화..내년부터 진료비용 공개·사전 설명 연합뉴스	1
62	코로나로 혼술·홈술족 증가..알코올의존증 주의해야 뉴시스	1
63	[아하!코로나] '변화무쌍' 코로나19..내년에도 마스크 착용 필수 뉴시스	1
64	"[신년사] 김명수 대법원장 ""신속한 재판 위해 최선 다할 것"" 연합뉴스"	1
65	"""나도 알코올의존증?"" 자가점검하고 새해엔 '절주' 실천 뉴시스"	1
66	"내년부터 박쥐·낙타 수출입 전 허가..""감염병 원천 차단"" 뉴시스"	1
67	"[신년사]유남석 헌법재판소장 ""'재판 중심의 재판소' 구현할 것"" 머니투데이"	1
68	흡연자는 코로나 고위험군..금연 필요성 더 커져 뉴시스	1
69	"비급여 16조6천억, 연평균 7.6%↑..동네의원도 가격정보 공개 뉴시스"	1
70	"방배동 비극 낳은 부양의무자 기준..인권위 ""폐지해야"" 뉴시스"	1
71	"매년 실패했던 금연, 이렇게 하면 성공률 확 높아진다 뉴시스"	1
72	초대 국가수사본부장' 외부에서 뽑는다..'경력 채용 공고' 머니투데이	1
73	"인권위 ""낙태죄 처벌규정 없애야""..국회의장에 의견서 뉴시스"	1
74	['제대로' 운동법]만성질환 있을땐 어떻게 운동할까? 뉴시스	1
75	"올해도 '국민' 14번 외친 윤석열 신년사..""국민의 검찰되자"" 머니투데이"	1
76	신축년은 이불 속에서 '랜선 해돋이' 보자 한국일보	1
77	"헌재 ""경품 금지한 게임산업법 합헌..'바다이야기' 사태로 확인'"" 뉴스1"	1
78	제주 집단감염 여파 확진자 100명 중 10명 감염경로 미파악 연합뉴스	1
79	서울 요양·장애인시설 집단감염 확산..돌봄인력 확보 난항 연합뉴스	1
80	자원봉사 348명 정규직 돌린 경남교육청..두달 근무자도 있다 중앙일보	1
81	SKY' 수시 최초합격자 2841명 등록 안해..고려대는 절반 뉴스1	1
82	"서울 동부구치소발 807명 확진..""확진자 다수 추가 예상"" (종합) 뉴스1"	1
83	"""해는 매일 뜹니다"" 드론까지 띄워 관광객 막는 해맞이 명소 중앙일보"	1
84	"서울시 ""코로나19 확산세 꺾이지 않는 상황 송구·죄송"" 뉴시스"	1
85	연말연시 방역수칙 어긴 병원·교회 등 503건 적발 뉴시스	1
86	농·축·수산물 영향..대구·경북 12월 소비자물가 각각 소폭 상승 뉴시스	1
87	"[일문일답] 이용구 ""신입 수용자 전수검사 늦은 감 있어"" 연합뉴스"	1
88	충북 학생·교직원 누적 확진 60명..대부분 가족간 감염 연합뉴스	1
89	"정부 ""미소들병원 확진자 모두 전원조치..비확진자는 잔류"" 뉴시스"	1
90	마라톤 동호회' 의사 3명 확진..의사 체육동호회발 모두 9명 감염(종합) 뉴스1	1
91	"""지역화폐 도입 후 매출·소비 늘어..올해 부가가치 8천억 순증""(종합) 연합뉴스"	1
92	2020년 마지막 날 제주도 전역 '꽁꽁'..한라산에 최대 40cm 적설 뉴스1	1
93	수도권 병상대기 환자 23명→41명..중환자병상 95개 여력 뉴시스	1
94	"[탐정 손수호]감악산 머리없는 시신 사건, 어떻게 됐나? 노컷뉴스"	1
95	회사서 직원 폭행 후 하루 넘게 방치 숨지게 한 40대 구속 연합뉴스	1
96	"[명민호 전복]구조작업 사투 벌이다 부상 해경 ""선원들께 죄송"" 뉴스1"	1
97	"〈2020 올해의 인물〉 ""왜 사춘기를 갖다 붙이는 거지?"" 시사IN"	1
98	도심서 멧돼지 날뛰는데 포획 중단..부산 지자체 대응에 불안 연합뉴스	1
99	"요양병원 비확진 환자도 사망 비극..당국, 병상지원도 거부(종합) 뉴스1"	1
100	재수감 위기 놓인 이재용..'국정농단 사건' 집행유예 나올까 헤럴드경제	1
101	논란의 박범계..'피고인 장관'에 측근은 각종 비리 문화일보	1
102	서울 56개 선별검사소 운영 2주 연장..확진자 922명 발견(종합) 뉴시스	1
103	[인터뷰투데이] 특검 이재용에 징역 9년 구형..다음 달 최종 결론 관심 YTN	1
104	요양·정신병원 종사자 매주 코로나 검사..감염 취약시설 방역 강화 뉴스1	1
105	시민 행복 위한 또 다른 길..서울시 외국인 정책 뉴시스	1
106	"양천구 또다른 요양시설서 14명 집단감염..""마스크 착용 미흡"" 뉴스1"	1
107	서울구치소 확진자 1명 사망..구치소 사망 누적 2명 연합뉴스	1
108	"정부 ""모레 토요일 중대본 회의서 전국 거리두기 조정안 확정"" 연합뉴스"	1
109	코로나에 지쳐.. 달아오르지 않는 '사랑의 온도' 문화일보	1
110	월급 '냉탕' 보너스 '쌩~' 대출 '꽁꽁'..직장인도 춥다 아시아경제	1
111	마을 보물' 두가천에 시멘트를 바른다니.. 가슴이 철렁 오마이뉴스	1
112	"[신년인터뷰]유두석 장성군수 ""희망의 씨앗 싹 틔우겠다"" 뉴시스"	1
113	인천교육청 적극행정 조례 공포..중과실 없으면 책임 면제 연합뉴스	1
114	"정부, '의사국시 거부' 의대생에 추가 시험 기회 부여 연합뉴스"	1
115	방역조치 위반 식당 경주서 11곳 적발..밤늦게 영업 연합뉴스	1
116	"동부구치소 수용자들의 편지 ""살려달라 외쳐도..그냥 가축 취급"" 한겨레"	1
117	코로나19·한파에 일자리 못 구해 붐비는 인력시장..생활방역 긴장 헤럴드경제	1
118	인천서 종교시설 집단감염 5명 등 43명 확진..2명 사망 연합뉴스	1
119	수원서 가족·지인 감염 7명·경로 미상 3명..밤사이 10명 확진 뉴스1	1
120	"서울시, '54명 확진' 중랑구 능력교회 폐쇄..방역수칙 위반 고발 뉴시스"	1
121	코로나19 확진자 돌보던 군산의료원 간호사 3명 감염 연합뉴스	1
122	구치소발 집단감염 확산에..부랴부랴 진화 나선 법무부 연합뉴스	1
123	사우나·성당·카페發 등 집단감염 지속..제주 확진자 9명 추가 뉴시스	1
124	대구서 33명 신규 확진..확진자 접촉으로 산발적 발생(종합) 연합뉴스	1
125	"동부구치소 807명' 서울, 366명 신규 확진..사망자 5명 뉴스1"	1
126	"[단독]""과세소득보다 실제 소득 많다""는 윤미향, 국세청 '입증 불가' 누적처리 헤럴드경제"	1
127	"""대북전단금지법, 표현의 자유 등 인권 침해"" 인권위 진정 연합뉴스"	1
128	"동부구치소 사태 秋 대신 이용구 사과..""3단계 격상""(종합) 뉴스1"	1
129	라임 투자업체 주가조작' 혐의 주범에 징역 15년 구형 뉴시스	1
141	"""삼성, 폴더블폰 주인공은 바로 나""..올해 출하량 73% 싹쓸이 뉴스1"	0
142	"""그냥 가져 가세요 ㅎㅎ"" 당근마켓이 '당근듀오'된 사연? [IT선빵!] 헤럴드경제"	0
143	일본 코로나19 브리핑에 소녀상 관련 자막 입힌 KBS에 '권고' 연합뉴스	0
144	이어도 과학기지 주변은 동북아 바다의 급격한 플랑크톤종 변화 현장 동아사이언스	0
145	"""게임은 공익산업 아니다""..학계, 자율규제 위한 민·관 협력 '시급' 아이뉴스24"	0
146	"개인정보보호위 ""정보주체 권리 강화..개인정보보호법 개정 추진"" 한겨레"	0
147	"대통령상 취소 황우석 전 서울대 교수 상금 반납 거부..과기부 ""민사소송 계획"" 동아사이언스"	0
148	"애플, 전기차 배터리 시장서 다크호스될까? 아이뉴스24"	0
149	[단독] 한국 게임 막아놓고..중국은 2조 벌어갔다 한국경제	0
150	태양계 '화석' 달 충돌구 10만9천여개 새로 찾아내 연합뉴스	0
151	"한파 도우미 운영, 결빙 구간 '내비'로 안내.. 안전한 겨울 지킨다 조선일보"	0
152	"""개방성·다양성 더한 5.5G로 도약, 지능형 IoT 혁신 이끈다"" 지디넷코리아"	0
153	"넥슨, 20년 근속자에 1천만원 포상..넷마블·엔씨에 이어 도입(종합) 연합뉴스"	0
154	"정부, GDPR처럼 개인정보 유출 과징금 확 늘린다 지디넷코리아"	0
155	애플 이어 MS도 서버·서피스용 칩 만든다 지디넷코리아	0
156	롤러블의 등장·대화면 인기는 계속..2021년 IT 트렌드 전망 한국경제	0
157	"""비트코인 3.8배, 이더리움 6배"".. 올해 암호화폐 얼마나 뛰었나 뉴스1"	0
158	굿바이 '플래시' D-1..최신 브라우저 써야 안전 지디넷코리아	0
159	연구실 안전사고' 10% 증가..원인 1위는 '보호구 미착용' 경향신문	0
160	[김우재의 보통과학자] 팬데믹의 희망과 과학자의 고난 동아사이언스	0
161	"""정밀 안전진단 필요 고위험 연구실 4만8천여개..전체의 60%"" 연합뉴스"	0
162	"""제2 n번방 막는다..디지털 성범죄물 피해 신고·삭제는 이렇게"" 뉴스1"	0
163	"""열심히 한 분리수거, 재활용 안돼.."" 헛수고? IT동아"	0
164	해킹 치밀해지는데..'보안 취약점 포상제' 활성화 언제? 지디넷코리아	0
165	中 알리바바가 주목하는 새해 10대 IT 트렌드 지디넷코리아	0
166	"[단독]삼성 '하만 인수' 주역 이승욱 부사장, 전장사업 진두지휘 머니투데이"	0
